Year,Netflix,Amazon Prime,Disney+,Hulu
2018,5.4,,,
1998,6.8,,,
2018,5.3,,,
2001,6.0,,,
2014,8.1,,,
2009,7.6,,,
1992,8.6,,,
2018,5.9,,,
2020,7.5,,,
2013,7.7,,,
2008,7.2,,,
2018,4.8,,,
2018,6.3,,,
2017,6.5,,,
1991,5.1,,,
2000,6.2,,,
2008,7.0,,,
2015,7.5,,,
2011,7.6,,,
2018,8.0,,,
2021,5.8,,,
2021,6.0,,,
2019,6.5,,,
2020,5.2,,,
2011,7.3,,,
2021,4.8,4.8,,
2020,6.6,,,
2021,6.7,,,
2013,6.9,,,
2019,6.3,,,
2019,8.2,,,
2017,5.9,,,
2018,7.8,,,
2016,6.8,,,
2017,6.3,,,
2018,6.6,,,6.6
2014,6.6,,,
2019,7.4,,,
2011,4.9,,,
2016,6.4,,,
2016,5.6,,,
2013,6.5,,,
2019,7.4,,,
2019,5.2,,,
2021,5.7,,,
2018,6.1,,,
2016,6.7,,,
2015,7.2,,,
1997,7.4,,,
2010,7.6,,,
2019,7.5,,,
1989,6.1,,,6.1
2015,7.6,,,
2012,5.7,,,
2020,6.3,,,
2021,6.1,,,
2016,7.3,,,
2019,7.8,,,
1993,8.6,,,
2009,5.7,,,
2019,5.6,,,
2012,7.6,,,
2020,6.3,,,
2009,5.4,,,
2020,7.1,,,
2018,5.8,,,
2000,6.5,,,
2020,5.8,,,
2017,6.7,,,
2017,6.7,,,
2020,7.3,,,
2019,5.7,,,
2021,7.0,,,
2017,5.7,,,
2017,7.8,,,
2020,7.9,,,
2020,5.8,,,
2017,6.3,,,
2019,5.8,,,
2018,5.8,,,
2017,6.3,,,
1999,8.0,,,
2011,6.4,,,
2019,5.6,,,
2016,5.9,,,
2017,5.8,,,
2013,7.1,,,
2020,5.6,,,
2004,7.4,,,
2017,7.2,,,
2017,5.2,,,
2018,6.8,,,
2017,7.4,,,
2021,5.8,,,
2020,6.4,,,
2010,7.0,,,
2006,7.2,,,
2015,4.8,,,
2019,6.3,,,
2018,7.3,,,
2018,5.5,,,
2019,8.0,,,
2017,5.7,,,
2019,6.5,,,
2020,6.1,,,
2020,5.5,,,
2009,7.6,,,
2020,6.1,,,
2001,5.6,,,
2013,6.5,,,
2014,7.1,,,
2017,7.3,,,
2015,6.7,,,
2017,6.8,,,
2021,6.2,,,
2020,8.2,,,
2016,6.4,,,
2019,5.6,,,
2018,7.2,,,
2021,8.2,,,
1958,7.6,,,
1979,9.0,,,
2015,5.3,,,
2019,5.5,,,
2016,6.8,,,
2019,5.9,,,
2019,5.6,,,
2006,8.0,8.0,,
2005,6.4,,,
2018,5.8,,,
2013,8.0,,,
2019,7.5,,,
2020,7.2,,,
2019,7.3,,,
2017,6.5,,,
2018,6.8,,,
2020,8.6,,,
2018,6.6,,,
2019,5.9,,,
2004,4.8,,,
2018,5.2,,,
2020,5.8,,,
2018,5.8,5.8,,
2014,5.0,,,
2006,7.7,,,
2020,6.7,,,
2017,5.7,,,
2021,8.5,,,
2020,6.9,,,
2014,4.7,,,
2017,6.7,,,
2019,8.3,,,
2010,7.5,,,
2021,4.4,,,
2018,6.6,,,
2012,6.1,,,
2017,6.3,,,
2020,6.5,,,
2016,4.6,,,
2020,6.1,,,
2006,7.2,7.2,,
2010,4.0,,,
2021,5.3,,,
2010,6.2,,,
2009,5.6,,,
2019,7.2,,,
2018,7.0,,,
1989,6.4,,,
2016,5.3,,,
2016,7.4,,,
2017,7.1,,,
2006,7.9,,,
2017,6.9,,,
2002,8.1,,,
2018,5.5,,,
2019,8.5,,,
2020,5.9,,,
2021,6.5,6.5,,
2009,7.4,,,
2014,6.8,,,
2016,8.0,,,
2005,6.6,,,
2013,7.0,,,
1996,5.5,,,5.5
2016,5.9,,,
2018,6.5,,,
2020,5.5,,,
2021,5.5,,,
2020,7.3,,,
2019,5.9,,,
2020,7.3,,,
2021,6.7,,,
2018,7.6,,,
2014,6.2,,,
2021,6.5,,,
2012,5.9,,,
2021,6.7,,,
2010,8.0,,,
2017,5.6,,,
2018,5.0,,,
2012,6.9,,,
2018,7.2,,,
2021,6.3,,,
2018,6.9,,,
2018,8.0,,,
2013,7.3,,,
